Key,Base,Language,Translation
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant \""All files access\"" in Settings.","ro",""
"sync_open_settings","Open Settings","ro",""
"sync_qr_code_title","Scan QR Code","ro",""
"sync_qr_code_message","Open your camera and scan this code to access the server.","ro",""
"sync_close","Close","ro",""
"sync_server_offline","Server Offline","ro",""
"sync_server_starting","Starting…","ro",""
"sync_server_online","Server Online","ro",""
"sync_server_error","Error","ro",""
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","ro",""
"sync_server_mode","Server Mode","ro",""
"sync_server_running","Running","ro",""
"sync_server_tap_to_start","Tap to start","ro",""
"sync_server_settings","Server Settings","ro",""
"sync_port","Port","ro",""
"sync_require_pin","Require PIN","ro",""
"sync_require_pin_subtitle","Guard transfers with a password","ro",""
"sync_pin_code","PIN Code","ro",""
"sync_active_downloads","Active Downloads","ro",""
"sync_active_downloads_count","%d downloading","ro",""
"sync_no_active_downloads","No active downloads","ro",""
"sync_server_url","Server URL","ro",""
"sync_active_transfer","Active Transfer","ro",""
"sync_active_transfers_count","Active Transfers (%d)","ro",""
"sync_add_files_to_share","Add Files to Share","ro",""
"sync_shared_files_count","Shared Files (%1$d)","ro",""
"sync_empty_state_message","Turn on the server to start sharing files","ro",""
"sync_delete_cd","Delete","ro",""
"sync_percentage","%1$d%%","ro",""
"sync_transfer_progress","%1$s / %2$s","ro",""
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","ro",""
"sync_toast_added","Added %1$d file(s) to Sync Folder","ro",""
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","ro",""
"sync_toast_failed","Failed to copy files","ro",""
"file_size_gb","%1$.1f GB","ro",""
"file_size_mb","%1$.1f MB","ro",""
"file_size_kb","%1$.0f KB","ro",""
"file_size_b","%1$d B","ro",""
"setting_retry_root","Retry Root Probe","ro",""
"setting_section_interface","Interface","ro",""
"setting_section_security","Security","ro",""
"setting_lock_install_title","Lock Installations","ro",""
"setting_lock_install_subtitle","Require biometric to confirm install","ro",""
"setting_lock_uninstall_title","Lock Uninstalls","ro",""
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","ro",""
"setting_biometric_unavailable","No biometric or device lock set up on this device.","ro",""
"setting_section_sync_short","Sync","ro",""
"setting_sync_control_panel","Sync Control Panel","ro",""
"setting_section_advanced","Advanced","ro",""
"setting_vt_api_key_title","VirusTotal API Key","ro",""
"setting_vt_api_key_placeholder","Paste API key here…","ro",""
"setting_diagnostics_title","Diagnostics","ro",""
"setting_installer_package_title","Installer Package","ro",""
"backup_settings_title","Backup Settings","ro",""
"backup_output_path","Output Path","ro",""
"backup_filename_template","Filename Template","ro",""
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","ro",""
"app_name","Universal Installer","ru",""
"download_notif_running_text","%1$s / %2$s · %3$d%%","ru",""
"source_action_browse_packages_sub",".APK · .APK+ · .XAPK · .APKS · .APKM","ru",""
"obb_copy_progress","%1$s / %2$s · %3$d%%","ru",""
"obb_notif_running_text","%d%%","ru",""
"apk_info_version_detail","%1$s (%2$d)","ru",""
"uninstall_current_sort_summary","%1$s %2$s","ru",""
"setting_shizuku_installer_preset_play","Google Play Store","ru",""
"setting_shizuku_installer_preset_aurora","Aurora Store","ru",""
"setting_shizuku_installer_preset_fdroid","F-Droid","ru",""
"setting_shizuku_installer_preset_amazon","Amazon Appstore","ru",""
"setting_shizuku_installer_preset_samsung","Samsung Galaxy Store","ru",""
"setting_shizuku_installer_preset_huawei","Huawei AppGallery","ru",""
"setting_shizuku_installer_preset_xiaomi","Xiaomi GetApps","ru",""
"setting_about_app_name","Universal Installer","ru",""
"setting_github_title","GitHub","ru",""
"setting_telegram_title","Telegram","ru",""
"setting_website_subtitle","universal-installer.pwhs.app","ru",""
"setting_rate_title","Rate App","ru",""
"about_creator_subtitle","Pass With High Score","ru",""
"about_license_subtitle","GNU GPL v3","ru",""
"about_btn_ok","OK","ru",""
"installer_mode_shizuku","Shizuku","ru",""
"installer_mode_root","Root","ru",""
"tv_sync_screen_title","Send to TV","ru",""
"tv_sync_hero_title","Send an app to your TV","ru",""
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","ru",""
"tv_sync_btn_scan","Scan TV QR","ru",""
"tv_sync_prompt_scan","Scan the QR on your TV","ru",""
"tv_sync_status_connected","Connected to %1$s","ru",""
"tv_sync_btn_choose_apk","Choose APK to send","ru",""
"tv_sync_btn_rescan","Scan a different TV","ru",""
"tv_sync_status_sending","Sending…","ru",""
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","ru",""
"tv_sync_status_failed","Failed: %1$s","ru",""
"sync_storage_permission_title","Storage Permission Required","ru",""
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant \""All files access\"" in Settings.","ru",""
"sync_open_settings","Open Settings","ru",""
"sync_qr_code_title","Scan QR Code","ru",""
"sync_qr_code_message","Open your camera and scan this code to access the server.","ru",""
"sync_close","Close","ru",""
"sync_server_offline","Server Offline","ru",""
"sync_server_starting","Starting…","ru",""
"sync_server_online","Server Online","ru",""
"sync_server_error","Error","ru",""
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","ru",""
"sync_server_mode","Server Mode","ru",""
"sync_server_running","Running","ru",""
"sync_server_tap_to_start","Tap to start","ru",""
"sync_server_settings","Server Settings","ru",""
"sync_port","Port","ru",""
"sync_require_pin","Require PIN","ru",""
"sync_require_pin_subtitle","Guard transfers with a password","ru",""
"sync_pin_code","PIN Code","ru",""
"sync_active_downloads","Active Downloads","ru",""
"sync_active_downloads_count","%d downloading","ru",""
"sync_no_active_downloads","No active downloads","ru",""
"sync_server_url","Server URL","ru",""
"sync_active_transfer","Active Transfer","ru",""
"sync_active_transfers_count","Active Transfers (%d)","ru",""
"sync_add_files_to_share","Add Files to Share","ru",""
"sync_shared_files_count","Shared Files (%1$d)","ru",""
"sync_empty_state_message","Turn on the server to start sharing files","ru",""
"sync_delete_cd","Delete","ru",""
"sync_percentage","%1$d%%","ru",""
"sync_transfer_progress","%1$s / %2$s","ru",""
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","ru",""
"sync_toast_added","Added %1$d file(s) to Sync Folder","ru",""
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","ru",""
"sync_toast_failed","Failed to copy files","ru",""
"file_size_gb","%1$.1f GB","ru",""
"file_size_mb","%1$.1f MB","ru",""
"file_size_kb","%1$.0f KB","ru",""
"file_size_b","%1$d B","ru",""
"setting_retry_root","Retry Root Probe","ru",""
"setting_section_interface","Interface","ru",""
"setting_section_security","Security","ru",""
"setting_lock_install_title","Lock Installations","ru",""
"setting_lock_install_subtitle","Require biometric to confirm install","ru",""
"setting_lock_uninstall_title","Lock Uninstalls","ru",""
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","ru",""
"setting_biometric_unavailable","No biometric or device lock set up on this device.","ru",""
"setting_section_sync_short","Sync","ru",""
"setting_sync_control_panel","Sync Control Panel","ru",""
"setting_section_advanced","Advanced","ru",""
"setting_vt_api_key_title","VirusTotal API Key","ru",""
"setting_vt_api_key_placeholder","Paste API key here…","ru",""
"setting_diagnostics_title","Diagnostics","ru",""
"setting_installer_package_title","Installer Package","ru",""
"backup_settings_title","Backup Settings","ru",""
"backup_output_path","Output Path","ru",""
"backup_filename_template","Filename Template","ru",""
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","ru",""
"app_name","Universal Installer","tr",""
"download_notif_running_text","%1$s / %2$s · %3$d%%","tr",""
"source_action_browse_packages_sub",".APK · .APK+ · .XAPK · .APKS · .APKM","tr",""
"obb_copy_progress","%1$s / %2$s · %3$d%%","tr",""
"obb_notif_running_text","%d%%","tr",""
"apk_info_version_detail","%1$s (%2$d)","tr",""
"uninstall_current_sort_summary","%1$s %2$s","tr",""
"setting_shizuku_installer_preset_play","Google Play Store","tr",""
"setting_shizuku_installer_preset_aurora","Aurora Store","tr",""
"setting_shizuku_installer_preset_fdroid","F-Droid","tr",""
"setting_shizuku_installer_preset_amazon","Amazon Appstore","tr",""
"setting_shizuku_installer_preset_samsung","Samsung Galaxy Store","tr",""
"setting_shizuku_installer_preset_huawei","Huawei AppGallery","tr",""
"setting_shizuku_installer_preset_xiaomi","Xiaomi GetApps","tr",""
"setting_about_app_name","Universal Installer","tr",""
"setting_github_title","GitHub","tr",""
"setting_telegram_title","Telegram","tr",""
"setting_website_subtitle","universal-installer.pwhs.app","tr",""
"setting_rate_title","Rate App","tr",""
"about_creator_subtitle","Pass With High Score","tr",""
"about_license_subtitle","GNU GPL v3","tr",""
"about_btn_ok","OK","tr",""
"installer_mode_shizuku","Shizuku","tr",""
"installer_mode_root","Root","tr",""
"tv_sync_screen_title","Send to TV","tr",""
"tv_sync_hero_title","Send an app to your TV","tr",""
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","tr",""
"tv_sync_btn_scan","Scan TV QR","tr",""
"tv_sync_prompt_scan","Scan the QR on your TV","tr",""
"tv_sync_status_connected","Connected to %1$s","tr",""
"tv_sync_btn_choose_apk","Choose APK to send","tr",""
"tv_sync_btn_rescan","Scan a different TV","tr",""
"tv_sync_status_sending","Sending…","tr",""
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","tr",""
"tv_sync_status_failed","Failed: %1$s","tr",""
"sync_storage_permission_title","Storage Permission Required","tr",""
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant \""All files access\"" in Settings.","tr",""
"sync_open_settings","Open Settings","tr",""
"sync_qr_code_title","Scan QR Code","tr",""
"sync_qr_code_message","Open your camera and scan this code to access the server.","tr",""
"sync_close","Close","tr",""
"sync_server_offline","Server Offline","tr",""
"sync_server_starting","Starting…","tr",""
"sync_server_online","Server Online","tr",""
"sync_server_error","Error","tr",""
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","tr",""
"sync_server_mode","Server Mode","tr",""
"sync_server_running","Running","tr",""
"sync_server_tap_to_start","Tap to start","tr",""
"sync_server_settings","Server Settings","tr",""
"sync_port","Port","tr",""
"sync_require_pin","Require PIN","tr",""
"sync_require_pin_subtitle","Guard transfers with a password","tr",""
"sync_pin_code","PIN Code","tr",""
"sync_active_downloads","Active Downloads","tr",""
"sync_active_downloads_count","%d downloading","tr",""
"sync_no_active_downloads","No active downloads","tr",""
"sync_server_url","Server URL","tr",""
"sync_active_transfer","Active Transfer","tr",""
"sync_active_transfers_count","Active Transfers (%d)","tr",""
"sync_add_files_to_share","Add Files to Share","tr",""
"sync_shared_files_count","Shared Files (%1$d)","tr",""
"sync_empty_state_message","Turn on the server to start sharing files","tr",""
"sync_delete_cd","Delete","tr",""
"sync_percentage","%1$d%%","tr",""
"sync_transfer_progress","%1$s / %2$s","tr",""
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","tr",""
"sync_toast_added","Added %1$d file(s) to Sync Folder","tr",""
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","tr",""
"sync_toast_failed","Failed to copy files","tr",""
"file_size_gb","%1$.1f GB","tr",""
"file_size_mb","%1$.1f MB","tr",""
"file_size_kb","%1$.0f KB","tr",""
"file_size_b","%1$d B","tr",""
"setting_retry_root","Retry Root Probe","tr",""
"setting_section_interface","Interface","tr",""
"setting_section_security","Security","tr",""
"setting_lock_install_title","Lock Installations","tr",""
"setting_lock_install_subtitle","Require biometric to confirm install","tr",""
"setting_lock_uninstall_title","Lock Uninstalls","tr",""
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","tr",""
"setting_biometric_unavailable","No biometric or device lock set up on this device.","tr",""
"setting_section_sync_short","Sync","tr",""
"setting_sync_control_panel","Sync Control Panel","tr",""
"setting_section_advanced","Advanced","tr",""
"setting_vt_api_key_title","VirusTotal API Key","tr",""
"setting_vt_api_key_placeholder","Paste API key here…","tr",""
"setting_diagnostics_title","Diagnostics","tr",""
"setting_installer_package_title","Installer Package","tr",""
"backup_settings_title","Backup Settings","tr",""
"backup_output_path","Output Path","tr",""
"backup_filename_template","Filename Template","tr",""
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","tr",""
"app_name","Universal Installer","uk",""
"download_notif_running_text","%1$s / %2$s · %3$d%%","uk",""
"source_action_browse_packages_sub",".APK · .APK+ · .XAPK · .APKS · .APKM","uk",""
"obb_copy_progress","%1$s / %2$s · %3$d%%","uk",""
"obb_notif_running_text","%d%%","uk",""
"apk_info_version_detail","%1$s (%2$d)","uk",""
"uninstall_current_sort_summary","%1$s %2$s","uk",""
"setting_shizuku_installer_preset_play","Google Play Store","uk",""
"setting_shizuku_installer_preset_aurora","Aurora Store","uk",""
"setting_shizuku_installer_preset_fdroid","F-Droid","uk",""
"setting_shizuku_installer_preset_amazon","Amazon Appstore","uk",""
"setting_shizuku_installer_preset_samsung","Samsung Galaxy Store","uk",""
"setting_shizuku_installer_preset_huawei","Huawei AppGallery","uk",""
"setting_shizuku_installer_preset_xiaomi","Xiaomi GetApps","uk",""
"setting_about_app_name","Universal Installer","uk",""
"setting_github_title","GitHub","uk",""
"setting_telegram_title","Telegram","uk",""
"setting_website_subtitle","universal-installer.pwhs.app","uk",""
"setting_rate_title","Rate App","uk",""
"about_creator_subtitle","Pass With High Score","uk",""
"about_license_subtitle","GNU GPL v3","uk",""
"about_btn_ok","OK","uk",""
"installer_mode_shizuku","Shizuku","uk",""
"installer_mode_root","Root","uk",""
"tv_sync_screen_title","Send to TV","uk",""
"tv_sync_hero_title","Send an app to your TV","uk",""
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","uk",""
"tv_sync_btn_scan","Scan TV QR","uk",""
"tv_sync_prompt_scan","Scan the QR on your TV","uk",""
"tv_sync_status_connected","Connected to %1$s","uk",""
"tv_sync_btn_choose_apk","Choose APK to send","uk",""
"tv_sync_btn_rescan","Scan a different TV","uk",""
"tv_sync_status_sending","Sending…","uk",""
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","uk",""
"tv_sync_status_failed","Failed: %1$s","uk",""
"sync_storage_permission_title","Storage Permission Required","uk",""
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant \""All files access\"" in Settings.","uk",""
"sync_open_settings","Open Settings","uk",""
"sync_qr_code_title","Scan QR Code","uk",""
"sync_qr_code_message","Open your camera and scan this code to access the server.","uk",""
"sync_close","Close","uk",""
"sync_server_offline","Server Offline","uk",""
"sync_server_starting","Starting…","uk",""
"sync_server_online","Server Online","uk",""
"sync_server_error","Error","uk",""
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","uk",""
"sync_server_mode","Server Mode","uk",""
"sync_server_running","Running","uk",""
"sync_server_tap_to_start","Tap to start","uk",""
"sync_server_settings","Server Settings","uk",""
"sync_port","Port","uk",""
"sync_require_pin","Require PIN","uk",""
"sync_require_pin_subtitle","Guard transfers with a password","uk",""
"sync_pin_code","PIN Code","uk",""
"sync_active_downloads","Active Downloads","uk",""
"sync_active_downloads_count","%d downloading","uk",""
"sync_no_active_downloads","No active downloads","uk",""
"sync_server_url","Server URL","uk",""
"sync_active_transfer","Active Transfer","uk",""
"sync_active_transfers_count","Active Transfers (%d)","uk",""
"sync_add_files_to_share","Add Files to Share","uk",""
"sync_shared_files_count","Shared Files (%1$d)","uk",""
"sync_empty_state_message","Turn on the server to start sharing files","uk",""
"sync_delete_cd","Delete","uk",""
"sync_percentage","%1$d%%","uk",""
"sync_transfer_progress","%1$s / %2$s","uk",""
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","uk",""
"sync_toast_added","Added %1$d file(s) to Sync Folder","uk",""
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","uk",""
"sync_toast_failed","Failed to copy files","uk",""
"file_size_gb","%1$.1f GB","uk",""
"file_size_mb","%1$.1f MB","uk",""
"file_size_kb","%1$.0f KB","uk",""
"file_size_b","%1$d B","uk",""
"setting_retry_root","Retry Root Probe","uk",""
"setting_section_interface","Interface","uk",""
"setting_section_security","Security","uk",""
"setting_lock_install_title","Lock Installations","uk",""
"setting_lock_install_subtitle","Require biometric to confirm install","uk",""
"setting_lock_uninstall_title","Lock Uninstalls","uk",""
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","uk",""
"setting_biometric_unavailable","No biometric or device lock set up on this device.","uk",""
"setting_section_sync_short","Sync","uk",""
"setting_sync_control_panel","Sync Control Panel","uk",""
"setting_section_advanced","Advanced","uk",""
"setting_vt_api_key_title","VirusTotal API Key","uk",""
"setting_vt_api_key_placeholder","Paste API key here…","uk",""
"setting_diagnostics_title","Diagnostics","uk",""
"setting_installer_package_title","Installer Package","uk",""
"backup_settings_title","Backup Settings","uk",""
"backup_output_path","Output Path","uk",""
"backup_filename_template","Filename Template","uk",""
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","uk",""
"app_name","Universal Installer","vi",""
"download_notif_running_text","%1$s / %2$s · %3$d%%","vi",""
"source_action_browse_packages_sub",".APK · .APK+ · .XAPK · .APKS · .APKM","vi",""
"obb_copy_progress","%1$s / %2$s · %3$d%%","vi",""
"obb_notif_running_text","%d%%","vi",""
"apk_info_version_detail","%1$s (%2$d)","vi",""
"uninstall_current_sort_summary","%1$s %2$s","vi",""
"setting_shizuku_installer_preset_play","Google Play Store","vi",""
"setting_shizuku_installer_preset_aurora","Aurora Store","vi",""
"setting_shizuku_installer_preset_fdroid","F-Droid","vi",""
"setting_shizuku_installer_preset_amazon","Amazon Appstore","vi",""
"setting_shizuku_installer_preset_samsung","Samsung Galaxy Store","vi",""
"setting_shizuku_installer_preset_huawei","Huawei AppGallery","vi",""
"setting_shizuku_installer_preset_xiaomi","Xiaomi GetApps","vi",""
"setting_about_app_name","Universal Installer","vi",""
"setting_github_title","GitHub","vi",""
"setting_telegram_title","Telegram","vi",""
"setting_website_subtitle","universal-installer.pwhs.app","vi",""
"setting_rate_title","Rate App","vi",""
"about_creator_subtitle","Pass With High Score","vi",""
"about_license_subtitle","GNU GPL v3","vi",""
"about_btn_ok","OK","vi",""
"installer_mode_shizuku","Shizuku","vi",""
"installer_mode_root","Root","vi",""
"tv_sync_screen_title","Send to TV","vi",""
"tv_sync_hero_title","Send an app to your TV","vi",""
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","vi",""
"tv_sync_btn_scan","Scan TV QR","vi",""
"tv_sync_prompt_scan","Scan the QR on your TV","vi",""
"tv_sync_status_connected","Connected to %1$s","vi",""
"tv_sync_btn_choose_apk","Choose APK to send","vi",""
"tv_sync_btn_rescan","Scan a different TV","vi",""
"tv_sync_status_sending","Sending…","vi",""
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","vi",""
"tv_sync_status_failed","Failed: %1$s","vi",""
"sync_storage_permission_title","Storage Permission Required","vi",""
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant \""All files access\"" in Settings.","vi",""
"sync_open_settings","Open Settings","vi",""
"sync_qr_code_title","Scan QR Code","vi",""
"sync_qr_code_message","Open your camera and scan this code to access the server.","vi",""
"sync_close","Close","vi",""
"sync_server_offline","Server Offline","vi",""
"sync_server_starting","Starting…","vi",""
"sync_server_online","Server Online","vi",""
"sync_server_error","Error","vi",""
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","vi",""
"sync_server_mode","Server Mode","vi",""
"sync_server_running","Running","vi",""
"sync_server_tap_to_start","Tap to start","vi",""
"sync_server_settings","Server Settings","vi",""
"sync_port","Port","vi",""
"sync_require_pin","Require PIN","vi",""
"sync_require_pin_subtitle","Guard transfers with a password","vi",""
"sync_pin_code","PIN Code","vi",""
"sync_active_downloads","Active Downloads","vi",""
"sync_active_downloads_count","%d downloading","vi",""
"sync_no_active_downloads","No active downloads","vi",""
"sync_server_url","Server URL","vi",""
"sync_active_transfer","Active Transfer","vi",""
"sync_active_transfers_count","Active Transfers (%d)","vi",""
"sync_add_files_to_share","Add Files to Share","vi",""
"sync_shared_files_count","Shared Files (%1$d)","vi",""
"sync_empty_state_message","Turn on the server to start sharing files","vi",""
"sync_delete_cd","Delete","vi",""
"sync_percentage","%1$d%%","vi",""
"sync_transfer_progress","%1$s / %2$s","vi",""
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","vi",""
"sync_toast_added","Added %1$d file(s) to Sync Folder","vi",""
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","vi",""
"sync_toast_failed","Failed to copy files","vi",""
"file_size_gb","%1$.1f GB","vi",""
"file_size_mb","%1$.1f MB","vi",""
"file_size_kb","%1$.0f KB","vi",""
"file_size_b","%1$d B","vi",""
"setting_retry_root","Retry Root Probe","vi",""
"setting_section_interface","Interface","vi",""
"setting_section_security","Security","vi",""
"setting_lock_install_title","Lock Installations","vi",""
"setting_lock_install_subtitle","Require biometric to confirm install","vi",""
"setting_lock_uninstall_title","Lock Uninstalls","vi",""
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","vi",""
"setting_biometric_unavailable","No biometric or device lock set up on this device.","vi",""
"setting_section_sync_short","Sync","vi",""
"setting_sync_control_panel","Sync Control Panel","vi",""
"setting_section_advanced","Advanced","vi",""
"setting_vt_api_key_title","VirusTotal API Key","vi",""
"setting_vt_api_key_placeholder","Paste API key here…","vi",""
"setting_diagnostics_title","Diagnostics","vi",""
"setting_installer_package_title","Installer Package","vi",""
"backup_settings_title","Backup Settings","vi",""
"backup_output_path","Output Path","vi",""
"backup_filename_template","Filename Template","vi",""
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","vi",""
"app_name","Universal Installer","zh",""
"download_notif_running_text","%1$s / %2$s · %3$d%%","zh",""
"source_action_browse_packages_sub",".APK · .APK+ · .XAPK · .APKS · .APKM","zh",""
"obb_copy_progress","%1$s / %2$s · %3$d%%","zh",""
"obb_notif_running_text","%d%%","zh",""
"apk_info_version_detail","%1$s (%2$d)","zh",""
"uninstall_current_sort_summary","%1$s %2$s","zh",""
"setting_shizuku_installer_preset_play","Google Play Store","zh",""
"setting_shizuku_installer_preset_aurora","Aurora Store","zh",""
"setting_shizuku_installer_preset_fdroid","F-Droid","zh",""
"setting_shizuku_installer_preset_amazon","Amazon Appstore","zh",""
"setting_shizuku_installer_preset_samsung","Samsung Galaxy Store","zh",""
"setting_shizuku_installer_preset_huawei","Huawei AppGallery","zh",""
"setting_shizuku_installer_preset_xiaomi","Xiaomi GetApps","zh",""
"setting_about_app_name","Universal Installer","zh",""
"setting_github_title","GitHub","zh",""
"setting_telegram_title","Telegram","zh",""
"setting_website_subtitle","universal-installer.pwhs.app","zh",""
"setting_rate_title","Rate App","zh",""
"about_creator_subtitle","Pass With High Score","zh",""
"about_license_subtitle","GNU GPL v3","zh",""
"about_btn_ok","OK","zh",""
"installer_mode_shizuku","Shizuku","zh",""
"installer_mode_root","Root","zh",""
"tv_sync_screen_title","Send to TV","zh",""
"tv_sync_hero_title","Send an app to your TV","zh",""
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","zh",""
"tv_sync_btn_scan","Scan TV QR","zh",""
"tv_sync_prompt_scan","Scan the QR on your TV","zh",""
"tv_sync_status_connected","Connected to %1$s","zh",""
"tv_sync_btn_choose_apk","Choose APK to send","zh",""
"tv_sync_btn_rescan","Scan a different TV","zh",""
"tv_sync_status_sending","Sending…","zh",""
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","zh",""
"tv_sync_status_failed","Failed: %1$s","zh",""
"sync_storage_permission_title","Storage Permission Required","zh",""
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant \""All files access\"" in Settings.","zh",""
"sync_open_settings","Open Settings","zh",""
"sync_qr_code_title","Scan QR Code","zh",""
"sync_qr_code_message","Open your camera and scan this code to access the server.","zh",""
"sync_close","Close","zh",""
"sync_server_offline","Server Offline","zh",""
"sync_server_starting","Starting…","zh",""
"sync_server_online","Server Online","zh",""
"sync_server_error","Error","zh",""
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","zh",""
"sync_server_mode","Server Mode","zh",""
"sync_server_running","Running","zh",""
"sync_server_tap_to_start","Tap to start","zh",""
"sync_server_settings","Server Settings","zh",""
"sync_port","Port","zh",""
"sync_require_pin","Require PIN","zh",""
"sync_require_pin_subtitle","Guard transfers with a password","zh",""
"sync_pin_code","PIN Code","zh",""
"sync_active_downloads","Active Downloads","zh",""
"sync_active_downloads_count","%d downloading","zh",""
"sync_no_active_downloads","No active downloads","zh",""
"sync_server_url","Server URL","zh",""
"sync_active_transfer","Active Transfer","zh",""
"sync_active_transfers_count","Active Transfers (%d)","zh",""
"sync_add_files_to_share","Add Files to Share","zh",""
"sync_shared_files_count","Shared Files (%1$d)","zh",""
"sync_empty_state_message","Turn on the server to start sharing files","zh",""
"sync_delete_cd","Delete","zh",""
"sync_percentage","%1$d%%","zh",""
"sync_transfer_progress","%1$s / %2$s","zh",""
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","zh",""
"sync_toast_added","Added %1$d file(s) to Sync Folder","zh",""
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","zh",""
"sync_toast_failed","Failed to copy files","zh",""
"file_size_gb","%1$.1f GB","zh",""
"file_size_mb","%1$.1f MB","zh",""
"file_size_kb","%1$.0f KB","zh",""
"file_size_b","%1$d B","zh",""
"setting_retry_root","Retry Root Probe","zh",""
"setting_section_interface","Interface","zh",""
"setting_section_security","Security","zh",""
"setting_lock_install_title","Lock Installations","zh",""
"setting_lock_install_subtitle","Require biometric to confirm install","zh",""
"setting_lock_uninstall_title","Lock Uninstalls","zh",""
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","zh",""
"setting_biometric_unavailable","No biometric or device lock set up on this device.","zh",""
"setting_section_sync_short","Sync","zh",""
"setting_sync_control_panel","Sync Control Panel","zh",""
"setting_section_advanced","Advanced","zh",""
"setting_vt_api_key_title","VirusTotal API Key","zh",""
"setting_vt_api_key_placeholder","Paste API key here…","zh",""
"setting_diagnostics_title","Diagnostics","zh",""
"setting_installer_package_title","Installer Package","zh",""
"backup_settings_title","Backup Settings","zh",""
"backup_output_path","Output Path","zh",""
"backup_filename_template","Filename Template","zh",""
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","zh",""